Number	Label	Label V2.x	Text	Text2	Text3	Text4	Text5	Full description
64	SMCAUSlsa	CAUSLSA	0.102	0.101	0.099	0.099	0.094	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.419	0.435	0.438	0.438	0.452	WordNet verb overlap
66	SMTEMP	TEMPta	0.652	0.643	0.663	0.663	0.691	Temporal cohesion, tense and aspect repetition, mean
67	SYNLE	SYNLE	3.083	3.163	4.060	4.060	3.874	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	0.821	0.823	0.916	0.916	0.925	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.672	0.660	0.659	0.659	0.653	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.882	0.875	0.886	0.886	0.885	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.872	0.866	0.873	0.873	0.870	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.083	0.083	0.074	0.074	0.073	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.087	0.101	0.077	0.077	0.072	Sentence syntax similarity, all combinations, across paragraphs, mean
74	DRNP	n/a	374.291	371.744	361.340	361.340	368.876	Noun phrase density, incidence
75	DRVP	n/a	198.488	197.395	199.611	199.611	203.890	Verb phrase density, incidence
76	DRAP	n/a	37.807	36.072	33.511	33.511	32.421	Adverbial phrase density, incidence
77	DRPP	n/a	132.325	135.271	131.132	131.132	132.565	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	11.342	12.024	11.656	11.656	11.888	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	13.233	13.026	8.256	8.256	6.844	Negation density, incidence
80	DRGERUND	GERUNDi	11.342	9.018	12.142	12.142	12.248	Gerund density, incidence
81	DRINF	INFi	15.123	16.032	17.484	17.484	20.533	Infinitive density, incidence
82	WRDNOUN	NOUNi	253.308	254.509	259.349	259.349	255.764	Noun incidence
83	WRDVERB	VERBi	111.532	111.222	111.219	111.219	112.391	Verb incidence
84	WRDADJ	ADJi	49.150	48.096	59.737	59.737	63.040	Adjective incidence
85	WRDADV	ADVi	52.930	50.100	48.568	48.568	44.668	Adverb incidence
86	WRDPRO	DENPRPi	134.216	133.267	111.705	111.705	113.833	Pronoun incidence
87	WRDPRP1s	n/a	56.711	54.108	41.768	41.768	46.830	First person singular pronoun incidence
88	WRDPRP1p	n/a	13.233	14.028	18.456	18.456	16.210	First person plural pronoun incidence
89	WRDPRP2	PRO2i	43.478	43.086	34.968	34.968	32.781	Second person pronoun incidence
90	WRDPRP3s	n/a	11.342	12.024	7.771	7.771	10.086	Third person singular pronoun incidence
91	WRDPRP3p	n/a	0	0	2.428	2.428	3.242	Third person plural pronoun incidence
92	WRDFRQc	FRCLacwm	2.156	2.150	2.082	2.082	2.081	CELEX word frequency for content words, mean
93	WRDFRQa	FRCLaewm	2.972	2.979	2.973	2.973	2.982	CELEX Log frequency for all words, mean
94	WRDFRQmc	FRCLmcsm	1.168	1.151	1.131	1.131	1.141	CELEX Log minimum frequency for content words, mean
95	WRDAOAc	WRDAacwm	354.833	357.157	373.809	373.809	377.690	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	571.617	571.199	566.094	566.094	566.247	Familiarity for content words, mean
97	WRDCNCc	WRDCacwm	385.352	387.708	382.558	382.558	383.290	Concreteness for content words, mean
98	WRDIMGc	WRDIacwm	413.584	415.918	412.193	412.193	413.552	Imagability for content words, mean
99	WRDMEAc	WRDMacwm	417.780	419.875	421.533	421.533	423.824	Meaningfulness, Colorado norms, content words, mean
100	WRDPOLc	POLm	3.516	3.559	3.537	3.537	3.608	Polysemy for content words, mean
101	WRDHYPn	HYNOUNaw	6.822	6.952	6.721	6.721	6.563	Hypernymy for nouns, mean
102	WRDHYPv	HYVERBaw	1.673	1.702	1.631	1.631	1.615	Hypernymy for verbs, mean
103	WRDHYPnv	HYPm	1.911	1.959	1.912	1.912	1.861	Hypernymy for nouns and verbs, mean
104	RDFRE	READFRE	48.849	48.425	46.934	46.934	47.275	Flesch Reading Ease
105	RDFKGL	READFKGL	11.922	12.271	12.802	12.802	12.878	Flesch-Kincaid Grade level
106	RDL2	L2	14.191	14.222	11.319	11.319	11.501	Coh-Metrix L2 Readability
